date;index_value;volume;trades;oil_price;forex;temp_spb;temp_kost;temp_petr;day_of_week;day_of_year;day_of_month;year;month;week;is_month_end;is_month_start
2012-04-04;11624.0;0;;123.04;29.2944;-2.2;-8.5;-2.7;2;95;4;2012;4;14;0;0
2012-04-05;11724.0;3120;;123.58;29.463;-2.1;-2.9;-1.0;3;96;5;2012;4;14;0;0
2012-04-06;11724.0;0;;123.242;30.201525;2.0;-4.5;0.7;4;97;6;2012;4;14;0;0
2012-04-09;11724.0;0;;122.228;32.4171;-1.4;-6.3;-2.3;0;100;9;2012;4;15;0;0
2012-04-10;11724.0;0;;121.89;31.1944;-1.7;0.2;-0.6;1;101;10;2012;4;15;0;0
2012-04-11;11824.0;2730;;120.41;31.01545;2.8;2.2;0.2;2;102;11;2012;4;15;0;0
2012-04-12;11824.0;0;;120.57;30.8365;3.7;4.8;2.1;3;103;12;2012;4;15;0;0
2012-04-13;11824.0;0;;120.62;29.569;6.8;3.4;3.1;4;104;13;2012;4;15;0;0
2012-04-16;11824.0;0;;118.23;29.713299999999997;0.9;1.0;2.6;0;107;16;2012;4;16;0;0
2012-04-17;11824.0;0;;117.41;29.7614;4.2;-1.6;2.7;1;108;17;2012;4;16;0;0
2012-04-18;11824.0;0;;115.18;29.6368;2.7;-0.6000000000000001;1.9;2;109;18;2012;4;16;0;0
2012-04-19;11744.0;4875;;117.0;29.4978;3.3;0.4;1.9;3;110;19;2012;4;16;0;0
2012-04-20;11744.0;0;;118.08;29.5122;7.1;0.9;1.9;4;111;20;2012;4;16;0;0
2012-04-23;11744.0;0;;116.66;29.49405;7.9;3.1;4.8;0;114;23;2012;4;17;0;0
2012-04-24;11724.0;2145;;117.74;29.488;10.2;2.1;3.6;1;115;24;2012;4;17;0;0
2012-04-25;11724.0;0;;117.45;29.4549;8.5;2.3;4.9;2;116;25;2012;4;17;0;0
2012-04-26;11724.0;0;;119.33;29.2962;9.0;2.0;4.4;3;117;26;2012;4;17;0;0
2012-04-27;11724.0;0;;119.3;29.277;10.9;4.6;7.5;4;118;27;2012;4;17;0;0
2012-04-28;11820.0;7020;;118.954;29.4234;13.4;6.3;10.6;5;119;28;2012;4;17;0;0
2012-05-02;11820.0;0;;117.57;29.4268;6.4;2.46;4.2;2;123;2;2012;5;18;0;0
2012-05-03;10524.0;5040;;115.91;29.42765;7.0;1.5;3.7;3;124;3;2012;5;18;0;0
2012-05-04;10524.0;0;;111.66;29.4285;6.3;2.0;2.8;4;125;4;2012;5;18;0;0
2012-05-05;10524.0;0;;111.75666666666666;29.5937;10.4;1.7;1.0;5;126;5;2012;5;18;0;0
2012-05-10;10524.0;0;;112.24;31.121;14.2;10.5;14.4;3;131;10;2012;5;19;0;0
2012-05-11;12024.0;390;;112.5;31.057499999999997;15.0;9.9;15.5;4;132;11;2012;5;19;0;0
2012-05-12;12024.0;0;;111.93;30.994;13.7;8.966666666666667;12.1;5;133;12;2012;5;19;0;0
2012-05-14;12024.0;0;;110.79;30.508133333333333;8.1;7.1;8.7;0;135;14;2012;5;20;0;0
2012-05-15;12024.0;0;;111.4;30.2652;11.2;11.3;11.0;1;136;15;2012;5;20;0;0
2012-05-16;12024.0;0;;109.8;30.3299;13.7;12.8;11.0;2;137;16;2012;5;20;0;0
2012-05-17;12024.0;0;;109.31;30.9758;21.2;15.8;14.8;3;138;17;2012;5;20;0;0
2012-05-18;11824.0;975;;108.03;30.9417;14.3;14.9;17.6;4;139;18;2012;5;20;0;0
2012-05-21;11824.0;0;;109.02;31.104075;16.3;11.7;17.4;0;142;21;2012;5;21;0;0
2012-05-22;11724.0;2730;;109.76;31.1582;15.9;8.8;14.5;1;143;22;2012;5;21;0;0
2012-05-23;10524.0;3960;;106.88;31.0644;10.8;7.3;7.7;2;144;23;2012;5;21;0;0
2012-05-24;11724.0;1560;;107.2;31.3803;9.4;7.588888888888889;8.1;3;145;24;2012;5;21;0;0
2012-05-25;11724.0;0;;107.86;31.6247;10.4;7.877777777777778;13.2;4;146;25;2012;5;21;0;0
2012-05-28;11724.0;0;;107.6275;31.776425000000003;15.7;8.744444444444445;15.7;0;149;28;2012;5;22;0;0
2012-05-29;11624.0;1365;;107.55;31.827;12.7;9.033333333333333;10.7;1;150;29;2012;5;22;0;0
2012-05-30;11624.0;0;;103.85;32.086;7.9;9.322222222222223;7.6;2;151;30;2012;5;22;0;0
2012-05-31;11624.0;3900;;103.86;32.4509;9.7;9.61111111111111;7.4;3;152;31;2012;5;22;1;0
2012-06-01;11624.0;0;;98.63;31.695749999999997;8.4;9.9;9.1;4;153;1;2012;6;22;0;1
2012-06-04;11624.0;0;;97.74;29.4303;9.8;9.375;10.0;0;156;4;2012;6;23;0;0
2012-06-05;11624.0;2925;;98.65;29.8075;11.6;9.2;10.3;1;157;5;2012;6;23;0;0
2012-06-06;11624.0;0;;101.14;33.2001;13.5;10.1;12.0;2;158;6;2012;6;23;0;0
2012-06-07;11624.0;0;;100.05;32.4727;12.7;10.3;12.6;3;159;7;2012;6;23;0;0
2012-06-08;11624.0;0;;97.57;32.466750000000005;13.3;12.8;15.1;4;160;8;2012;6;23;0;0
2012-06-09;11624.0;0;;97.514;32.4608;14.2;12.88;16.3;5;161;9;2012;6;23;0;0
2012-06-13;11624.0;0;;97.29;32.67864;16.5;13.2;15.3;2;165;13;2012;6;24;0;0
2012-06-14;11624.0;0;;96.46;32.7331;17.5;13.28;17.8;3;166;14;2012;6;24;0;0
2012-06-15;10624.0;6630;;97.13;32.5766;17.0;13.36;18.8;4;167;15;2012;6;24;0;0
2012-06-18;10674.0;585;;95.21;32.242775;15.8;13.6;14.4;0;170;18;2012;6;25;0;0
2012-06-19;10674.0;1755;;95.14;32.1315;14.3;13.4;14.5;1;171;19;2012;6;25;0;0
2012-06-20;10674.0;0;;93.5;32.5315;15.4;13.2;14.0;2;172;20;2012;6;25;0;0
2012-06-21;10674.0;0;;89.22;32.5166;13.8;13.0;13.5;3;173;21;2012;6;25;0;0
2012-06-22;10624.0;585;;89.22;32.9054;14.6;12.799999999999999;13.8;4;174;22;2012;6;25;0;0
2012-06-25;10624.0;0;;88.69;33.103325;14.1;12.2;14.1;0;177;25;2012;6;26;0;0
2012-06-26;10324.0;3510;;90.19;33.1693;14.5;13.0;14.8;1;178;26;2012;6;26;0;0
2012-06-27;10324.0;0;;92.06;33.1732;14.1;12.8;14.0;2;179;27;2012;6;26;0;0
2012-06-28;10224.0;5070;;91.02;32.8384;14.0;7.0;13.3;3;180;28;2012;6;26;0;0
2012-06-29;10224.0;0;;94.17;32.9412;12.2;9.225;11.1;4;181;29;2012;6;26;0;0
2012-07-02;10224.0;0;;95.28;30.2324;17.8;15.9;17.7;0;184;2;2012;7;27;0;0
2012-07-03;10224.0;0;;99.89;29.4508;16.0;15.8;18.6;1;185;3;2012;7;27;0;0
2012-07-04;11462.0;3960;;100.715;29.4606;17.8;14.9;18.7;2;186;4;2012;7;27;0;0
2012-07-05;10524.0;4095;;101.54;31.12475;18.7;14.878571428571428;16.2;3;187;5;2012;7;27;0;0
2012-07-06;10524.0;0;;98.5;32.7889;20.3;14.857142857142858;16.4;4;188;6;2012;7;27;0;0
2012-07-09;10524.0;0;;99.94;32.1998;21.0;14.792857142857143;21.3;0;191;9;2012;7;28;0;0
2012-07-10;10629.0;6630;;99.15;31.859650000000002;19.4;14.771428571428572;15.7;1;192;10;2012;7;28;0;0
2012-07-11;10629.0;0;;99.23;31.5195;17.6;14.75;18.9;2;193;11;2012;7;28;0;0
2012-07-12;10974.0;4680;;99.18;30.9107;17.8;14.728571428571428;18.8;3;194;12;2012;7;28;0;0
2012-07-13;10974.0;0;;101.91;32.7177;16.9;14.707142857142857;17.4;4;195;13;2012;7;28;0;0
2012-07-16;10974.0;0;;102.1;32.645025000000004;14.9;14.642857142857142;15.3;0;198;16;2012;7;29;0;0
2012-07-17;11224.0;2535;;104.21;32.6208;14.5;14.621428571428572;14.8;1;199;17;2012;7;29;0;0
2012-07-18;11224.0;0;;105.92;32.4955;14.3;14.6;14.2;2;200;18;2012;7;29;0;0
2012-07-19;11624.0;2535;;107.79;32.4041;15.6;13.9;13.1;3;201;19;2012;7;29;0;0
2012-07-20;11624.0;0;;106.98;32.0764;15.8;12.1;15.9;4;202;20;2012;7;29;0;0
2012-07-23;11624.0;0;;103.91;32.3011;11.6;12.6;14.9;0;205;23;2012;7;30;0;0
2012-07-24;12124.0;2535;;103.57;32.376;16.0;16.1;15.9;1;206;24;2012;7;30;0;0
2012-07-25;12445.0;900;;102.35;32.6324;19.5;17.3;18.9;2;207;25;2012;7;30;0;0
2012-07-26;12445.0;0;;104.77;32.9657;21.0;16.1;16.9;3;208;26;2012;7;30;0;0
2012-07-27;12445.0;0;;106.3;32.6224;20.0;14.8;18.1;4;209;27;2012;7;30;0;0
2012-07-30;12445.0;0;;106.54;32.296675;25.9;23.8;23.1;0;212;30;2012;7;31;0;0
2012-07-31;12445.0;0;;105.93;32.1881;21.3;20.0;25.4;1;213;31;2012;7;31;1;0
2012-08-01;12824.0;2535;;106.78;31.1376;13.9;17.1;19.3;2;214;1;2012;8;31;0;1
2012-08-02;12824.0;0;;107.55;30.0871;16.0;15.2;16.3;3;215;2;2012;8;31;0;0
2012-08-03;13157.0;540;;109.57;29.6621;17.5;15.1;18.5;4;216;3;2012;8;31;0;0
2012-08-06;13157.0;0;;110.01;32.1922;16.4;14.275;18.6;0;219;6;2012;8;32;0;0
2012-08-07;13839.0;2535;;112.39;31.9283;19.0;14.0;19.7;1;220;7;2012;8;32;0;0
2012-08-08;13839.0;0;;113.42;31.6644;15.4;9.3;16.4;2;221;8;2012;8;32;0;0
2012-08-09;13839.0;0;;113.52;32.0142;12.6;8.1;12.0;3;222;9;2012;8;32;0;0
2012-08-10;13839.0;0;;113.13;31.985500000000002;10.6;9.3;9.9;4;223;10;2012;8;32;0;0
2012-08-13;13839.0;0;;114.48;31.8994;11.2;13.380000000000003;14.7;0;226;13;2012;8;33;0;0
2012-08-14;13983.0;3315;;113.9;31.8707;15.9;14.740000000000002;15.5;1;227;14;2012;8;33;0;0
2012-08-15;13983.0;0;;115.51;31.7739;15.3;16.1;16.0;2;228;15;2012;8;33;0;0
2012-08-16;14024.0;390;;116.12;31.8532;16.3;15.5;17.2;3;229;16;2012;8;33;0;0
2012-08-17;14024.0;0;;115.2;31.9011;17.0;16.1;16.8;4;230;17;2012;8;33;0;0
2012-08-20;14024.0;0;;115.5;31.987650000000002;13.1;11.225000000000001;9.9;0;233;20;2012;8;34;0;0
2012-08-21;14124.0;2145;;116.03;32.0165;10.9;9.6;11.4;1;234;21;2012;8;34;0;0
2012-08-22;14137.0;540;;115.77;31.9606;11.3;10.7;12.6;2;235;22;2012;8;34;0;0
2012-08-23;14324.0;2340;;117.45;31.8056;14.2;12.6;11.2;3;236;23;2012;8;34;0;0
2012-08-24;14324.0;0;;115.76;31.683;14.7;10.3;13.0;4;237;24;2012;8;34;0;0
2012-08-27;14324.0;0;;113.74;31.823475000000002;15.8;12.1;11.9;0;240;27;2012;8;35;0;0
2012-08-28;14324.0;0;;112.62;31.8703;14.4;11.133333333333333;13.3;1;241;28;2012;8;35;0;0
2012-08-29;14324.0;0;;112.53;32.0183;14.6;10.166666666666666;12.7;2;242;29;2012;8;35;0;0
2012-08-30;14324.0;0;;112.28;32.0942;12.3;9.2;11.1;3;243;30;2012;8;35;0;0
2012-08-31;14324.0;0;;113.93;32.2934;8.8;7.9;8.9;4;244;31;2012;8;35;1;0
2012-09-03;14324.0;0;;114.7175;32.5146;13.7;10.3;11.0;0;247;3;2012;9;36;0;0
2012-09-04;14324.0;3315;;114.98;32.58833333333333;13.5;11.0;12.6;1;248;4;2012;9;36;0;0
2012-09-05;14324.0;0;;113.32;32.66206666666666;13.8;12.1;12.2;2;249;5;2012;9;36;0;0
2012-09-06;14324.0;0;;114.5;32.7358;11.8;10.1;12.4;3;250;6;2012;9;36;0;0
2012-09-07;14324.0;0;;113.64;32.321275;9.1;9.225;9.2;4;251;7;2012;9;36;0;0
2012-09-10;14324.0;0;;113.84;31.0777;8.9;6.6;8.9;0;254;10;2012;9;37;0;0
2012-09-11;14106.0;5940;;114.86;31.5146;12.7;10.4;10.7;1;255;11;2012;9;37;0;0
2012-09-12;14106.0;0;;114.86;31.4963;17.2;14.1;14.1;2;256;12;2012;9;37;0;0
2012-09-13;14024.0;780;;116.0;31.478;14.7;11.9;14.7;3;257;13;2012;9;37;0;0
2012-09-14;15026.0;60;;117.48;31.3992;10.7;9.1;12.3;4;258;14;2012;9;37;0;0
2012-09-17;15026.0;0;;116.7;30.789825;13.1;10.7;12.4;0;261;17;2012;9;38;0;0
2012-09-18;14346.0;180;;113.29;30.5867;14.9;11.7;14.5;1;262;18;2012;9;38;0;0
2012-09-19;14145.0;4140;;108.49;30.8795;14.7;11.7;15.7;2;263;19;2012;9;38;0;0
2012-09-20;13524.0;390;;109.41;30.8634;12.7;9.2;13.4;3;264;20;2012;9;38;0;0
2012-09-21;13524.0;0;;111.27;31.5758;9.8;8.649999999999999;10.8;4;265;21;2012;9;38;0;0
2012-09-24;14346.0;180;;109.2;31.332425;8.9;7.0;10.2;0;268;24;2012;9;39;0;0
2012-09-25;14346.0;0;;110.77;31.2513;8.2;4.8;6.9;1;269;25;2012;9;39;0;0
2012-09-26;13837.0;5040;;108.99;31.1608;8.6;3.5;5.9;2;270;26;2012;9;39;0;0
2012-09-27;13837.0;0;;111.45;31.2221;11.9;6.3;8.2;3;271;27;2012;9;39;0;0
2012-09-28;13837.0;0;;111.36;31.1951;14.1;7.8;13.3;4;272;28;2012;9;39;0;0
2012-10-01;13837.0;0;;112.58;30.0584;9.4;8.85;9.7;0;275;1;2012;10;40;0;1
2012-10-02;13837.0;0;;112.49;29.6795;11.8;9.2;9.7;1;276;2;2012;10;40;0;0
2012-10-03;13837.0;0;;109.32;29.65765;10.4;10.0;10.9;2;277;3;2012;10;40;0;0
2012-10-04;13279.0;9360;;110.48;29.6358;9.2;9.0;9.4;3;278;4;2012;10;40;0;0
2012-10-05;13579.0;1800;;112.17;30.097025;11.0;9.2;9.5;4;279;5;2012;10;40;0;0
2012-10-08;13579.0;0;;112.6;31.4807;6.3;5.5;6.7;0;282;8;2012;10;41;0;0
2012-10-09;13377.0;3345;;114.32;31.29005;7.1;4.8;6.4;1;283;9;2012;10;41;0;0
2012-10-10;13302.0;8640;;116.11;31.0994;5.8;5.2;5.4;2;284;10;2012;10;41;0;0
2012-10-11;13303.0;8355;;116.18;31.4962;5.6;4.0;4.1;3;285;11;2012;10;41;0;0
2012-10-12;13237.0;3420;;115.17;31.41278;5.1;3.4;3.9;4;286;12;2012;10;41;0;0
2012-10-15;13262.0;720;;115.0;31.16252;5.9;1.2;1.9;0;289;15;2012;10;42;0;0
2012-10-16;13296.0;4035;;115.0;31.0791;9.3;2.5;7.6;1;290;16;2012;10;42;0;0
2012-10-17;15026.0;900;;113.49;30.9493;10.0;3.5;8.7;2;291;17;2012;10;42;0;0
2012-10-18;13579.0;180;;112.58;30.7964;8.0;2.4;8.5;3;292;18;2012;10;42;0;0
2012-10-19;13579.0;0;;111.89;30.7195;10.4;6.5;9.1;4;293;19;2012;10;42;0;0
2012-10-22;12624.0;390;;109.62;30.861175;2.5;-3.1;-1.1;0;296;22;2012;10;43;0;0
2012-10-23;12224.0;5070;;107.53;30.9084;-0.9;-0.9;-0.7;1;297;23;2012;10;43;0;0
2012-10-24;12332.0;5430;;107.66;31.1171;3.5;0.5;1.5;2;298;24;2012;10;43;0;0
2012-10-25;12637.0;1260;;107.64;31.3039;0.7;-2.8;-1.0;3;299;25;2012;10;43;0;0
2012-10-26;12637.0;0;;108.9;31.2499;-0.7;-2.7249999999999996;-2.7;4;300;26;2012;10;43;0;0
2012-10-29;12637.0;0;;109.33;31.39045;-1.3;-2.5;-5.1;0;303;29;2012;10;44;0;0
2012-10-30;12024.0;5070;;109.4;31.4373;-3.0;-2.85;-2.7;1;304;30;2012;10;44;0;0
2012-10-31;12024.0;0;;109.89;31.5252;-2.1;-3.2;-1.9;2;305;31;2012;10;44;1;0
2012-11-01;12024.0;0;;108.84;31.8729;0.3;-1.25;0.4;3;306;1;2012;11;44;0;1
2012-11-02;12167.0;2730;;106.79;29.8923;2.4;0.7;0.3;4;307;2;2012;11;44;0;0
2012-11-06;12167.0;0;;109.27;32.35878;2.8;-0.4;1.9;1;311;6;2012;11;45;0;0
2012-11-07;12024.0;2730;;108.21;32.9754;1.6;-2.0;0.2;2;312;7;2012;11;45;0;0
2012-11-08;12024.0;0;;107.23;31.8974;0.9;-2.6;-1.0;3;313;8;2012;11;45;0;0
2012-11-09;12338.0;6510;;108.61;31.7221;-0.5;-6.9;-2.2;4;314;9;2012;11;45;0;0
2012-11-12;12338.0;0;;110.23;30.8686;4.6;1.5;2.1;0;317;12;2012;11;46;0;0
2012-11-13;11824.0;1950;;108.82;31.6053;3.3;-2.4;0.8;1;318;13;2012;11;46;0;0
2012-11-14;11824.0;0;;109.66;31.7164;3.6;-3.1;-1.7;2;319;14;2012;11;46;0;0
2012-11-15;11824.0;0;;110.07;31.7267;6.6;1.3;3.2;3;320;15;2012;11;46;0;0
2012-11-16;11324.0;3510;;106.81;31.6919;4.3;1.35;0.9;4;321;16;2012;11;46;0;0
2012-11-19;11324.0;1950;;110.06;31.67375;2.3;1.5;2.3;0;324;19;2012;11;47;0;0
2012-11-20;11374.0;780;;110.01;31.6677;2.9;1.3;2.8;1;325;20;2012;11;47;0;0
2012-11-21;11374.0;0;;110.81;31.4263;4.2;3.6;4.4;2;326;21;2012;11;47;0;0
2012-11-22;11124.0;2730;;110.475;31.4218;4.2;4.4;4.5;3;327;22;2012;11;47;0;0
2012-11-23;11196.0;1755;;110.14;31.1525;3.6;3.125;2.7;4;328;23;2012;11;47;0;0
2012-11-26;11124.0;2535;;110.18;31.0532;0.1;-0.7;-0.1;0;331;26;2012;11;48;0;0
2012-11-27;11537.0;360;;109.33;31.0201;0.3;-5.7;-1.8;1;332;27;2012;11;48;0;0
2012-11-28;11537.0;0;;108.26;30.941;-3.2;-11.0;-6.4;2;333;28;2012;11;48;0;0
2012-11-29;11124.0;1170;;110.47;31.1408;-5.9;-16.3;-7.8;3;334;29;2012;11;48;0;0
2012-11-30;11124.0;0;;110.84;31.0565;-8.8;-15.0;-10.5;4;335;30;2012;11;48;1;0
2012-12-03;10924.0;1950;;111.27;29.5406;-3.1;-17.9;-5.9;0;338;3;2012;12;49;0;0
2012-12-04;10924.0;1365;;109.99;29.8033;-6.2;-19.6;-5.8;1;339;4;2012;12;49;0;0
2012-12-05;10937.0;2340;;108.96;30.2306;-5.3;-18.222222222222225;-7.5;2;340;5;2012;12;49;0;0
2012-12-06;10937.0;0;;108.01;31.529400000000003;-5.2;-16.844444444444445;-11.1;3;341;6;2012;12;49;0;0
2012-12-07;10937.0;0;;107.16;32.8282;-4.9;-15.466666666666669;-5.6;4;342;7;2012;12;49;0;0
2012-12-10;10624.0;1170;;108.25;31.1667;-11.7;-11.333333333333334;-6.8;0;345;10;2012;12;50;0;0
2012-12-11;10624.0;0;;107.6;30.95865;-4.6;-9.955555555555556;-4.6;1;346;11;2012;12;50;0;0
2012-12-12;10324.0;1365;;110.17;30.7506;-3.2;-8.577777777777778;-3.9;2;347;12;2012;12;50;0;0
2012-12-13;10324.0;0;;110.18;30.7321;-7.9;-7.2;-9.3;3;348;13;2012;12;50;0;0
2012-12-14;10324.0;195;;109.28;30.6034;-6.3;-7.65;-12.1;4;349;14;2012;12;50;0;0
2012-12-17;10324.0;0;;109.35;30.72805;-12.4;-9.0;-13.4;0;352;17;2012;12;51;0;0
2012-12-18;10324.0;0;;109.96;30.7696;-17.6;-16.8;-17.7;1;353;18;2012;12;51;0;0
2012-12-19;10324.0;0;;109.95;30.9859;-21.6;-19.900000000000002;-22.2;2;354;19;2012;12;51;0;0
2012-12-20;9724.0;2535;;110.57;30.7606;-18.2;-23.0;-22.5;3;355;20;2012;12;51;0;0
2012-12-21;9830.0;3120;;109.13;30.7592;-16.3;-26.1;-21.2;4;356;21;2012;12;51;0;0
2012-12-24;10164.0;975;;108.44;30.79325;-16.8;-17.3;-18.9;0;359;24;2012;12;52;0;0
2012-12-25;9924.0;2925;;109.58;30.8046;-11.8;-19.9;-16.8;1;360;25;2012;12;52;0;0
2012-12-26;9924.0;0;;110.72;30.5926;-4.2;-26.0;-15.6;2;361;26;2012;12;52;0;0
2012-12-27;9924.0;0;;110.04;30.615;-1.2;-13.1;-12.5;3;362;27;2012;12;52;0;0
2012-12-28;9924.0;0;;110.05;30.4808;-0.2;-8.1;-0.5;4;363;28;2012;12;52;0;0
2013-01-09;9924.0;0;;113.07;32.32981538461539;-6.2;-3.7;-6.0;2;9;9;2013;1;2;0;0
2013-01-10;9924.0;0;;112.97;32.4839;-4.5;-5.4;-10.8;3;10;10;2013;1;2;0;0
2013-01-11;10458.0;2925;;110.3;32.0758;-11.3;-8.2;-17.1;4;11;11;2013;1;2;0;0
2013-01-14;10458.0;0;;111.32;30.714475;-4.4;-7.4;-7.0;0;14;14;2013;1;3;0;0
